ID,CAT,SCAT,TTL,DESC,NT,KV,UN,PL,CS,EW,SS,DS,TC,PM,EP,EO,TBBC
169,Overhead line,HVAC,2 × Paw Paw DCST 1594 MVA,"Overhead lines double circuit single tower, twin conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commissioning is accounted in the terminating end in the substation switchbay cost", 220,km,619021.7600589991,410295.1443123939,296016.49168081494,0.0,69117.44297028598,0.0,109952.31339030385,209981.31635030193,143568.44720496895,1857952.9159680684
170,Overhead line,HVAC,Stage 1 development: 2 × Paw Paw DCST 1594 MVA,"Construction of a double circuit tower with initially a single circuit strung. This reflects stage 1 of developing an Overhead lines double circuit single tower, twin conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commissioning is accounted in the terminating end in the substation switchbay cost", 220,km,464266.3200442493,410295.1443123939,148008.24584040747,0.0,69117.44297028598,0.0,109952.31339030385,209981.31635030193,143568.44720496895,1555189.2301129112
171,Overhead line,HVAC,Stage 2 development: 2 × Paw Paw DCST 1594 MVA,"Second circuit strung on the vacant side of the double circuit tower. This reflects stage 2 of developing an Overhead lines double circuit single tower, twin conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commissioning is accounted in the terminating end in the substation switchbay cost", 220,km,154755.44001474977,0.0,148008.24584040747,0.0,0.0,0.0,109952.31339030385,0.0,0.0,412715.9992454611
172,Overhead line,HVAC with HTLS conductor,2 × HTLS Conductor DCST 1955 MVA,"Overhead lines double circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,688193.4583094893,432979.4906621391,387902.4896434634,0.0,78364.82639633601,0.0,126108.01674486147,256113.57524544402,176010.0,2145671.857001733
173,Overhead line,HVAC with HTLS conductor,Stage 1 development: 2 × HTLS Conductor DCST 1955 MVA,"Construction of a double circuit tower with initially a single circuit strung. This reflects stage 1 of developing an Overhead lines double circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,516145.0937321169,432979.4906621391,193951.2448217317,0.0,78364.82639633601,0.0,126108.01674486147,256113.57524544402,176010.0,1779672.247602629
174,Overhead line,HVAC with HTLS conductor,Stage 2 development: 2 × HTLS Conductor DCST 1955 MVA,"Second circuit strung on the vacant side of the double circuit tower. This reflects stage 2 of developing an Overhead lines double circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,172048.36457737233,0.0,193951.2448217317,0.0,0.0,0.0,126108.01674486147,0.0,0.0,492107.6261439655
175,Overhead line,HVAC with HTLS conductor,3 × HTLS Conductor DCST 2342 MVA,"Overhead lines double circuit single tower, triple HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,780852.8214289905,432979.4906621391,557838.4543293717,0.0,90718.37689901698,0.0,138461.56724754244,256113.57524544402,176010.0,2432974.285812505
176,Overhead line,HVAC with HTLS conductor,Stage 1 development: 3 × HTLS Conductor DCST 2342 MVA,"Construction of a double circuit tower with initially a single circuit strung. This reflects stage 1 of developing an Overhead lines double circuit single tower, triple HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,585639.6160717428,432979.4906621391,278919.22716468584,0.0,90718.37689901698,0.0,138461.56724754244,256113.57524544402,176010.0,1958841.8532905711
177,Overhead line,HVAC with HTLS conductor,Stage 2 development: 3 × HTLS Conductor DCST 2342 MVA,"Second circuit strung on the vacant side of the double circuit tower. This reflects stage 2 of developing an Overhead lines double circuit single tower, triple HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,195213.2053572476,0.0,278919.22716468584,0.0,0.0,0.0,138461.56724754244,0.0,0.0,612593.9997694759
178,Overhead line,HVAC with HTLS conductor,2 × HTLS Conductor SCST 855 MVA,"Overhead lines single circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,562432.2639057183,432979.4906621391,193951.2448217317,0.0,63407.2669319705,0.0,111150.45728049596,256113.57524544402,176010.0,1796044.2988474995
179,Overhead line,HVAC with HTLS conductor,2 × HTLS Conductor SCST 977 MVA,"Overhead lines single circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,562432.2639057183,432979.4906621391,193951.2448217317,0.0,63407.2669319705,0.0,111150.45728049596,256113.57524544402,176010.0,1796044.2988474995
180,Overhead line,HVAC with HTLS conductor,3 × HTLS Conductor SCST 1283 MVA,"Overhead lines single circuit single tower, triple HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 330,km,608761.9454654689,432979.4906621391,278919.22716468584,0.0,69584.04218331097,0.0,117327.23253183643,256113.57524544402,176010.0,1939695.5132528853
181,Overhead line,HVAC with HTLS conductor,1 × HTLS Conductor DCST 525 MVA,"Overhead lines double circuit single tower, single HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 275,km,529225.5664014464,412224.7198641766,208489.71952461798,0.0,61178.79833277479,0.0,104429.93327468722,227479.75937949377,156198.63354037268,1699227.1303175692
182,Overhead line,HVAC with HTLS conductor,Stage 1 development: 1 × HTLS Conductor DCST 525 MVA,"Construction of a double circuit tower with initially a single circuit strung. This reflects stage 1 of developing an Overhead lines double circuit single tower, single HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 275,km,396919.17480108474,412224.7198641766,104244.85976230899,0.0,61178.79833277479,0.0,104429.93327468722,227479.75937949377,156198.63354037268,1462675.8789548986
183,Overhead line,HVAC with HTLS conductor,Stage 2 development: 1 × HTLS Conductor DCST 525 MVA,"Second circuit strung on the vacant side of the double circuit tower. This reflects stage 2 of developing an Overhead lines double circuit single tower, single HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 275,km,132306.3916003616,0.0,104244.85976230899,0.0,0.0,0.0,104429.93327468722,0.0,0.0,340981.1846373578
184,Overhead line,HVAC with HTLS conductor,2 × HTLS Conductor DCST 1425 MVA,"Overhead lines double circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 275,km,617856.26155923,412224.7198641766,371037.16400679114,0.0,72995.23794403486,0.0,116246.37288594728,227479.75937949377,156198.63354037268,1974038.1491800463
185,Overhead line,HVAC with HTLS conductor,Stage 1 development: 2 × HTLS Conductor DCST 1425 MVA,"Construction of a double circuit tower with initially a single circuit strung. This reflects stage 1 of developing an Overhead lines double circuit single tower, twin HTLS conductor per phase. Rating calculated for summer day, 1m/s wind speed, and air temperature of 35oC.","1. Plant amount includes: Strain + Structural tower associated costs (steel tower with single earth peak, structural foundation steel, foundation leg steel, climbing barrier, fittings, insulators) and insulator and conductor. 85% suspension, 15% strain and 400m span. Sag and OPGW has been appropriately assigned
2. Civil and structural works includes: Tower concrete footing, soil tests, installation of tower and foundations
3. Electrical works includes: installation of conductor (setup, draw wires,stringing, clamping off), installation of OHEW/OPGW (draw wire, stringing, clamping off)
4. Secondary system and testing and commisioning is accounted in the terminating end in the substation switchbay cost", 275,km,463392.1961694226,412224.7198641766,185518.58200339557,0.0,72995.23794403486,0.0,116246.37288594728,227479.75937949377,156198.63354037268,1634055.5017868434
